"","PH_hat","Carb.Volume","Fill.Ounces","PC.Volume","Carb.Pressure","Carb.Temp","PSC","PSC.Fill","PSC.CO2","Mnf.Flow","Carb.Pressure1","Fill.Pressure","Hyd.Pressure2","Hyd.Pressure4","Filler.Level","Filler.Speed","Temperature","Usage.cont","Carb.Flow","Density","Pressure.Vacuum","Oxygen.Filler","Pressure.Setpoint","Air.Pressurer","Carb.Rel","Brand.A","Brand.B","Brand.C","Brand.D","Brand.U"
"1",8.53936666666667,5.48,24.03333333,0.27,65.4,134.6,0.236,0.4,0.04,-100,116.6,46,0,96,129.4,3986,66,21.66,2950,0.88,-3.8,0.022,45.2,142.6,5.34,0,0,0,1,0
"2",8.48732666666667,5.393333333,23.95333333,0.226666667,63.2,135,0.042,0.22,0.08,-100,118.8,46.2,0,112,120,4012,65.6,17.6,2916,1.5,-4.4,0.03,46,147.2,5.58,1,0,0,0,0
"3",8.51891000000001,5.293333333,23.92,0.303333333,66.4,140.4,0.068,0.1,0.02,-100,120.2,45.8,0,98,119.4,4010,65.6,24.18,3056,0.9,-4.2,0.046,46,146.6,5.34,0,1,0,0,0
"4",8.60504666666667,5.266666667,23.94,0.186,64.8,139,0.004,0.2,0.02,-100,124.8,40,0,132,120.2,1522,74.4,18.12,28,0.74,-4,0.194,46,146.4,5.5,0,1,0,0,0
"5",8.50558333333333,5.406666667,24.2,0.16,69.4,142.2,0.04,0.3,0.06,-100,115,51.4,0,94,116,4018,66.4,21.32,3214,0.88,-4,0.082,50,145.8,5.38,0,1,0,0,0
"6",8.53220333333334,5.286666667,24.10666667,0.212,73.4,147.2,0.078,0.22,0.1,-100,118.6,46.4,0,94,120.4,4010,66.6,18,3064,0.84,-3.8,0.064,46,146,5.42,0,1,0,0,0
"7",8.51235333333334,5.48,23.93333333,0.243333333,65.2,134.6,0.088,0.14,0,-100,117.6,46.2,0,108,119.6,4010,66.8,17.68,3042,1.48,-4.2,0.042,46,145,5.46,1,0,0,0,0
"8",8.55033666666667,5.42,24.06666667,0.122666667,67.4,139,0.076,0.1,0.04,-100,121.4,40,0,108,131.4,1232,65,12.9,1972,1.6,-4.4,0.096,46,146,5.42,0,1,0,0,0
"9",8.57144666666667,5.406666667,23.92,0.332666667,66.8,138,0.246,0.48,0.04,-100,136,43.8,0,110,121,4010,65.8,17.7,2502,1.52,-4.4,0.046,46,146.2,5.44,1,0,0,0,0
"10",8.62537,5.473333333,24.02666667,0.256,72.6,144,0.146,0.1,0.02,-100,126.6,40.8,0,106,120.8,1006,66,22.8,28,1.48,-4.2,0.096,46,146,5.52,0,0,0,1,0
"11",8.53753,5.18,23.97333333,0.343333333,64,140.8,0.112,0.34,0.04,-100,121.2,46.6,0,98,120.2,4010,65.4,20.04,3172,0.86,-4.2,0.066,46,147,5.36,0,1,0,0,0
"12",8.51311,5.26,24.08,0.22,63.2,139.6,0.184,0.26,0.2,-100,117.2,46.2,0,96,118.4,4010,65.8,17.16,3100,0.86,-4.2,0.048,46,147,5.38,0,1,0,0,0
"13",8.48189,5.3,24.06,0.282,65,138.8,0.152,0.12,0,-100,117,45.8,0,100,119.6,4010,65.4,20.52,2926,0.92,-4.8,0.066,46,147,5.28,0,1,0,0,0
"14",8.61692,5.306666667,23.94,0.288666667,63.8,137.2,0.1,0.18,0.02,-100,122,46.4,0,100,119.8,4016,65.6,21.44,2954,0.94,-4.8,0.05,46,142.4,5.22,0,1,0,0,0
